id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
21302,Great Ocean Haven,81292,Laurel,,Surf Coast,-38.46329,144.09163,Entire home/apt,814,2,53,2025-04-21,0.40,3,321,2,
27561,Executive residence peaceful locale,119103,Lynn,,Surf Coast,-38.34221,144.30398,Entire home/apt,363,5,2,2022-04-18,0.03,2,87,0,
70449,Otway foothills retreat,357052,Craig And Tim,,Colac Otway,-38.32982,143.82842,Entire home/apt,156,1,65,2025-04-24,0.50,1,320,5,
84516,Sea-Lit - luxury plus stunning ocean views,462049,David,,Moyne,-38.39149,142.22084,Entire home/apt,459,3,170,2025-05-03,1.22,1,293,13,
195168,Historic House with Sea Views,899909,Tony,,Surf Coast,-38.54025,143.97139,Entire home/apt,600,2,39,2025-08-05,0.23,1,341,6,
291691,BH Sleepout,1511087,Kim,,Greater Geelong,-38.27942,144.49073,Entire home/apt,,2,93,2024-11-03,0.56,2,0,2,
372470,"Charleson Farm - rural escape, breathtaking views",1875131,Charleson,,Surf Coast,-38.33816,144.02221,Entire home/apt,676,2,284,2025-09-21,2.34,2,317,51,
403682,"Satis Beach House, Great Ocean Road
Linen provided",246509,Fiona,,Surf Coast,-38.465721,144.099136,Entire home/apt,393,2,187,2024-04-02,1.12,1,54,0,
479888,Riverbank Cottage Allenvale,2377195,Charles,,Surf Coast,-38.54855,143.95517,Entire home/apt,600,2,76,2025-04-21,0.65,6,241,1,
488344,"Seahaven,  a room with a view",2416415,Lise,,Surf Coast,-38.46413,144.09497,Entire home/apt,150,2,349,2025-09-13,3.07,2,227,35,
488599,Stunning City Townhouse,2417695,Darren And Yolanda,,Greater Geelong,-38.15406,144.35685,Entire home/apt,281,1,280,2025-06-09,1.91,5,285,1,
606687,Beach House - A Perfect Sea View,3005560,John & Suzy,,Queenscliffe,-38.2825,144.61339,Entire home/apt,245,2,416,2025-09-20,2.62,1,259,37,
675196,Self-contained downstairs apartment in Geelong,3429566,Jo,,Greater Geelong,-38.12033,144.35596,Entire home/apt,140,1,307,2025-09-21,2.16,1,246,37,
697087,Magic Apartment + Views@83 GREAT OCEAN ROAD Lorne,3570625,Kim,,Surf Coast,-38.527565,143.982712,Entire home/apt,695,3,169,2025-09-26,1.08,3,89,8,
785467,Beachside Entertainer - Apollo Bay,4140800,Stuart,,Colac Otway,-38.77916,143.66466,Entire home/apt,176,1,319,2025-09-07,2.07,1,297,49,
841336,Sweet Dreams Retreat at Lara,4393951,Janita,,Greater Geelong,-38.01528,144.40169,Private room,149,1,22,2022-12-18,0.16,2,356,0,
847397,Ultimate Beachfront Retreat -Incredible Views,459921,Lorraine,,Surf Coast,-38.5301,143.98119,Entire home/apt,349,2,73,2025-05-11,0.47,3,250,3,
850562,Beach House Apartment Eastern Beach,2417695,Darren And Yolanda,,Greater Geelong,-38.1471,144.37349,Entire home/apt,235,1,168,2025-02-22,1.18,5,315,3,
853375,Point Lonsdale Beach House,4456031,Fiona,,Queenscliffe,-38.27055,144.61555,Entire home/apt,205,3,85,2025-07-10,0.64,1,273,13,
855501,Nanna's House,4069063,Deborah,,Surf Coast,-38.39517,143.88749,Entire home/apt,172,2,140,2025-04-27,0.91,1,73,10,
858408,AWESOME STUDIO - Stunning Sea Views,459921,Lorraine,,Surf Coast,-38.53829,143.97,Entire home/apt,300,2,83,2024-12-26,0.55,3,248,1,
859859,Dazzling Views - Supreme Position!,459921,Lorraine,,Surf Coast,-38.53829,143.97,Entire home/apt,479,2,127,2025-04-21,0.83,3,234,3,
890837,Bells Beach Views,4731549,Marian,,Surf Coast,-38.35578,144.28283,Private room,190,1,238,2025-03-07,1.54,1,350,6,
902612,Forrest River Valley Bed and Breakfast Studio,4824121,Carol,,Colac Otway,-38.51378,143.72836,Entire home/apt,240,2,25,2025-01-06,0.17,3,43,1,
911101,Wilkin cottage,4888844,Sharon,,Glenelg,-37.70711,141.21131,Entire home/apt,175,2,236,2025-08-01,1.56,1,346,26,
921687,Grampians Historic Tobacco Kiln,4955998,Karen,,Southern Grampians,-37.66715,142.2236,Entire home/apt,184,2,174,2025-03-09,1.16,3,223,5,
943123,WWW(WarmWarrnamboolWelcome),5102281,Helen (Sophie),,Warrnambool,-38.38613,142.5142,Private room,109,1,315,2025-08-24,2.06,1,314,19,
1002120,Heart of Torquay!,5511143,Trish,,Surf Coast,-38.32433,144.325,Private room,,2,65,2020-12-31,0.46,1,0,0,
1037178,Great Ocean Road Hinterland Queen Room 1,5709920,Lisa,,Colac Otway,-38.57084,143.36134,Entire home/apt,228,2,129,2025-09-06,0.85,3,343,15,
1113236,"Family Beach House, Ocean Grove - Brisa Del Mar",6109815,Dale,,Greater Geelong,-38.270938873291016,144.51719665527344,Entire home/apt,263,2,33,2025-01-28,0.24,1,331,4,
1124773,Bellamboathouse at Fairhaven,6154547,Chris,,Surf Coast,-38.46346,144.09438,Entire home/apt,265,2,84,2025-09-16,0.58,1,61,3,
1168873,Airey's Inlet Beach-house,6401049,Alison,,Surf Coast,-38.45819,144.11411,Entire home/apt,415,2,103,2025-03-10,0.69,1,145,5,
1180734,Lorne Penthouse - stunning water views,4549647,Zora,,Surf Coast,-38.54783,143.9852,Entire home/apt,341,3,52,2025-04-22,0.40,1,265,2,
1247085,Seagrape Cottage,5732565,Christine,,Greater Geelong,-38.26207,144.52366,Entire home/apt,213,3,202,2025-09-16,1.35,1,45,12,
1261290,Portland Vic Aust Cape Nelson Retreat,3046272,Trevor A,,Glenelg,-38.38733,141.5529,Private room,,1,247,2020-03-09,1.67,1,0,0,
1285297,Fisheye9 - Ocean views and sounds!,6398917,Tanja,,Colac Otway,-38.72303,143.71179,Entire home/apt,246,1,306,2025-09-22,2.08,1,130,43,
1289208,Hopkins River Homestead,4647935,Lisa,,Warrnambool,-38.39359,142.59388,Entire home/apt,416,1,36,2025-05-18,0.26,2,319,1,
1332982,Anglesea Holiday Home - Sleeps 8!,7230673,Belinda,,Surf Coast,-38.40787,144.1956,Entire home/apt,285,2,396,2025-07-19,2.72,1,218,28,
1341747,Airey's on Hartley- Great Ocean Rd,7277677,Tim,,Surf Coast,-38.45555,144.11513,Entire home/apt,329,2,236,2025-08-31,1.61,1,321,7,
1384375,La Perouse - Small hotel by the sea,81292,Laurel,,Surf Coast,-38.54131,143.97026,Private room,503,2,59,2025-04-21,0.46,3,78,1,
1434583,Golfview Lorne,7710444,Brook,,Surf Coast,-38.52946,143.9739,Entire home/apt,530,2,148,2025-08-07,1.06,1,289,12,
1500112,Workers Playtime House Barwon Heads,8016448,Glenn,,Greater Geelong,-38.27656,144.49008,Entire home/apt,509,2,8,2021-04-16,0.07,1,334,0,
1504804,Relax in the Treetops - Walk Everywhere!,8040161,Claire,,Surf Coast,-38.40489,144.18174,Entire home/apt,585,3,25,2025-01-27,0.17,1,7,1,
1532875,South Geelong Studio Apartment,901220,Carlo,,Greater Geelong,-38.16312,144.36001,Entire home/apt,141,1,903,2025-09-20,8.50,1,348,70,
1544720,Casa Belvedere,5285153,Bianca,,Warrnambool,-38.39272529278881,142.50583168119192,Entire home/apt,808,3,14,2025-05-01,0.45,1,357,3,
1625193,"Barrabool Hills Retreat B&B, Vic.Q.2.",8641535,Lorelle,,Surf Coast,-38.19125,144.20375,Private room,109,1,202,2025-04-04,1.69,3,365,11,
1641677,Jindibah Bird Haven,8716182,Leanne,,Surf Coast,-38.45318,144.11095,Entire home/apt,273,2,79,2025-01-02,0.55,1,290,1,
1664906,Cabin near the sea,8819052,Antonia,,Surf Coast,-38.45908,144.10488,Entire home/apt,,2,363,2023-06-04,2.58,1,0,0,
